INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\0.txt" opened
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\0.txt" read
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\100.txt" opened
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\10.txt" opened
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\1.txt" opened
INFO | 03/25/2020 10:54:21 AM RawText object initialized using text starting with "In an..."
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\100.txt" read
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\10.txt" read
INFO | 03/25/2020 10:54:21 AM Cleaning text at level "50"
INFO | 03/25/2020 10:54:21 AM File "C:\Users\Francesco\Desktop\Text Classification\dataset\Test\Happiness\1.txt" read
INFO | 03/25/2020 10:54:21 AM RawText object initialized using text starting with "He re..."
INFO | 03/25/2020 10:54:21 AM Cleaning text at level "50"
INFO | 03/25/2020 10:54:21 AM RawText object initialized using text starting with "And i..."
INFO | 03/25/2020 10:54:21 AM RawText object initialized using text starting with "She l..."
INFO | 03/25/2020 10:54:21 AM Cleaning text at level "50"
INFO | 03/25/2020 10:54:21 AM Cleaning text at level "50"
INFO | 03/25/2020 10:54:21 AM CleanedText object initialized using "50" as cleaning level
INFO | 03/25/2020 10:54:21 AM Cleaning up useless attributes to free memory
INFO | 03/25/2020 10:54:21 AM CleanedText object initialized using "50" as cleaning level
INFO | 03/25/2020 10:54:21 AM Counting words occurrences
INFO | 03/25/2020 10:54:21 AM Cleaning up useless attributes to free memory
INFO | 03/25/2020 10:54:21 AM Calculating words frequencies with occurrences normalized
INFO | 03/25/2020 10:54:21 AM Counting words occurrences
INFO | 03/25/2020 10:54:21 AM AbstractText object initialized
