INFO | 03/10/2020 07:47:14 PM Starting happiness vocabulary training
INFO | 03/10/2020 07:47:14 PM File "dataset/Happiness/f0.txt" opened
INFO | 03/10/2020 07:47:14 PM File "dataset/Happiness/f0.txt" read
INFO | 03/10/2020 07:47:14 PM RawText object initialized using text starting with "0 I w..."
INFO | 03/10/2020 07:47:14 PM Cleaning text at level "50"
INFO | 03/10/2020 07:47:21 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:47:21 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:47:21 PM Counting words occurrences
INFO | 03/10/2020 07:47:35 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:47:35 PM AbstractText object initialized
INFO | 03/10/2020 07:47:35 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:47:35 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:47:35 PM File "dataset/Happiness/f1.txt" opened
INFO | 03/10/2020 07:47:35 PM File "dataset/Happiness/f1.txt" read
INFO | 03/10/2020 07:47:35 PM RawText object initialized using text starting with "The e..."
INFO | 03/10/2020 07:47:35 PM Cleaning text at level "50"
INFO | 03/10/2020 07:47:41 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:47:41 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:47:41 PM Counting words occurrences
INFO | 03/10/2020 07:47:59 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:47:59 PM AbstractText object initialized
INFO | 03/10/2020 07:47:59 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:47:59 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:47:59 PM File "dataset/Happiness/f10.txt" opened
INFO | 03/10/2020 07:47:59 PM File "dataset/Happiness/f10.txt" read
INFO | 03/10/2020 07:47:59 PM RawText object initialized using text starting with "My hu..."
INFO | 03/10/2020 07:47:59 PM Cleaning text at level "50"
INFO | 03/10/2020 07:48:04 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:48:04 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:48:04 PM Counting words occurrences
INFO | 03/10/2020 07:48:21 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:48:21 PM AbstractText object initialized
INFO | 03/10/2020 07:48:21 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:48:21 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:48:21 PM File "dataset/Happiness/f11.txt" opened
INFO | 03/10/2020 07:48:21 PM File "dataset/Happiness/f11.txt" read
INFO | 03/10/2020 07:48:21 PM RawText object initialized using text starting with "The d..."
INFO | 03/10/2020 07:48:21 PM Cleaning text at level "50"
INFO | 03/10/2020 07:48:28 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:48:28 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:48:28 PM Counting words occurrences
INFO | 03/10/2020 07:48:43 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:48:43 PM AbstractText object initialized
INFO | 03/10/2020 07:48:43 PM Cleaning up useless attributes to free memory
