INFO | 03/10/2020 07:22:50 PM Starting sadness vocabulary training
INFO | 03/10/2020 07:22:50 PM File "dataset/Sadness/tweets" opened
INFO | 03/10/2020 07:22:50 PM File "dataset/Sadness/tweets" read
INFO | 03/10/2020 07:22:50 PM RawText object initialized using text starting with "Layin..."
INFO | 03/10/2020 07:22:50 PM Cleaning text at level "50"
INFO | 03/10/2020 07:22:55 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:22:55 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:22:55 PM Counting words occurrences
INFO | 03/10/2020 07:23:17 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:23:17 PM AbstractText object initialized
INFO | 03/10/2020 07:23:17 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:23:17 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:23:17 PM File "dataset/Sadness/xaa" opened
INFO | 03/10/2020 07:23:17 PM File "dataset/Sadness/xaa" read
INFO | 03/10/2020 07:23:17 PM RawText object initialized using text starting with "i fee..."
INFO | 03/10/2020 07:23:17 PM Cleaning text at level "50"
INFO | 03/10/2020 07:23:27 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:23:27 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:23:27 PM Counting words occurrences
INFO | 03/10/2020 07:23:55 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:23:55 PM AbstractText object initialized
INFO | 03/10/2020 07:23:55 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:23:55 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:23:55 PM File "dataset/Sadness/xab" opened
INFO | 03/10/2020 07:23:55 PM File "dataset/Sadness/xab" read
INFO | 03/10/2020 07:23:55 PM RawText object initialized using text starting with "i'm a..."
INFO | 03/10/2020 07:23:55 PM Cleaning text at level "50"
INFO | 03/10/2020 07:24:04 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:24:04 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:24:04 PM Counting words occurrences
INFO | 03/10/2020 07:24:31 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:24:31 PM AbstractText object initialized
INFO | 03/10/2020 07:24:31 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:24:31 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:24:31 PM File "dataset/Sadness/xac" opened
INFO | 03/10/2020 07:24:31 PM File "dataset/Sadness/xac" read
INFO | 03/10/2020 07:24:31 PM RawText object initialized using text starting with "i'm u..."
INFO | 03/10/2020 07:24:31 PM Cleaning text at level "50"
INFO | 03/10/2020 07:24:41 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:24:41 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:24:41 PM Counting words occurrences
INFO | 03/10/2020 07:25:08 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:25:08 PM AbstractText object initialized
INFO | 03/10/2020 07:25:08 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:25:08 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:25:08 PM File "dataset/Sadness/xad" opened
INFO | 03/10/2020 07:25:08 PM File "dataset/Sadness/xad" read
INFO | 03/10/2020 07:25:08 PM RawText object initialized using text starting with "i was..."
INFO | 03/10/2020 07:25:08 PM Cleaning text at level "50"
INFO | 03/10/2020 07:25:17 PM CleanedText object initialized using "50" as cleaning level
INFO | 03/10/2020 07:25:17 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:25:17 PM Counting words occurrences
INFO | 03/10/2020 07:25:43 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:25:43 PM AbstractText object initialized
INFO | 03/10/2020 07:25:43 PM Cleaning up useless attributes to free memory
INFO | 03/10/2020 07:25:43 PM Calculating words frequencies with occurrences normalized
INFO | 03/10/2020 07:25:43 PM File "dataset/Sadness/xae" opened
INFO | 03/10/2020 07:25:43 PM File "dataset/Sadness/xae" read
INFO | 03/10/2020 07:25:43 PM RawText object initialized using text starting with "i did..."
INFO | 03/10/2020 07:25:43 PM Cleaning text at level "50"
