INFO | 03/07/2020 09:42:51 PM Starting stopwords training
INFO | 03/07/2020 09:42:51 PM File "dataset/Reuters/README.txt" opened
INFO | 03/07/2020 09:42:51 PM File "dataset/Reuters/README.txt" read
INFO | 03/07/2020 09:42:51 PM RawText object initialized using text starting with "
    ..."
INFO | 03/07/2020 09:42:51 PM Cleaning text at level "40"
INFO | 03/07/2020 09:42:51 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:42:51 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:42:51 PM Counting words occurrences
INFO | 03/07/2020 09:42:51 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:42:51 PM AbstractText object initialized
INFO | 03/07/2020 09:42:51 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:42:51 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:42:51 PM File "dataset/Reuters/reut2-000.sgm" opened
INFO | 03/07/2020 09:42:51 PM File "dataset/Reuters/reut2-000.sgm" read
INFO | 03/07/2020 09:42:51 PM RawText object initialized using text starting with "

26-..."
INFO | 03/07/2020 09:42:51 PM Cleaning text at level "40"
INFO | 03/07/2020 09:43:01 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:43:01 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:43:01 PM Counting words occurrences
INFO | 03/07/2020 09:43:25 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:43:25 PM AbstractText object initialized
INFO | 03/07/2020 09:43:25 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:43:25 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:43:25 PM File "dataset/Reuters/reut2-001.sgm" opened
INFO | 03/07/2020 09:43:25 PM File "dataset/Reuters/reut2-001.sgm" read
INFO | 03/07/2020 09:43:25 PM RawText object initialized using text starting with "

 3-..."
INFO | 03/07/2020 09:43:25 PM Cleaning text at level "40"
INFO | 03/07/2020 09:43:34 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:43:34 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:43:34 PM Counting words occurrences
INFO | 03/07/2020 09:43:57 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:43:57 PM AbstractText object initialized
INFO | 03/07/2020 09:43:57 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:43:57 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:43:57 PM File "dataset/Reuters/reut2-002.sgm" opened
INFO | 03/07/2020 09:43:57 PM File "dataset/Reuters/reut2-002.sgm" read
INFO | 03/07/2020 09:43:57 PM RawText object initialized using text starting with "

 5-..."
INFO | 03/07/2020 09:43:57 PM Cleaning text at level "40"
INFO | 03/07/2020 09:44:04 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:44:04 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:44:04 PM Counting words occurrences
INFO | 03/07/2020 09:44:29 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:44:29 PM AbstractText object initialized
INFO | 03/07/2020 09:44:29 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:44:29 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:44:29 PM File "dataset/Reuters/reut2-003.sgm" opened
INFO | 03/07/2020 09:44:29 PM File "dataset/Reuters/reut2-003.sgm" read
INFO | 03/07/2020 09:44:29 PM RawText object initialized using text starting with "

 9-..."
INFO | 03/07/2020 09:44:29 PM Cleaning text at level "40"
INFO | 03/07/2020 09:44:37 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:44:37 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:44:37 PM Counting words occurrences
INFO | 03/07/2020 09:45:06 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:45:06 PM AbstractText object initialized
INFO | 03/07/2020 09:45:06 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:45:06 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:45:06 PM File "dataset/Reuters/reut2-004.sgm" opened
INFO | 03/07/2020 09:45:07 PM File "dataset/Reuters/reut2-004.sgm" read
INFO | 03/07/2020 09:45:07 PM RawText object initialized using text starting with "

11-..."
INFO | 03/07/2020 09:45:07 PM Cleaning text at level "40"
INFO | 03/07/2020 09:45:15 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:45:15 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:45:15 PM Counting words occurrences
INFO | 03/07/2020 09:45:43 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:45:43 PM AbstractText object initialized
INFO | 03/07/2020 09:45:43 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:45:43 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:45:43 PM File "dataset/Reuters/reut2-005.sgm" opened
INFO | 03/07/2020 09:45:43 PM File "dataset/Reuters/reut2-005.sgm" read
INFO | 03/07/2020 09:45:43 PM RawText object initialized using text starting with "

13-..."
INFO | 03/07/2020 09:45:43 PM Cleaning text at level "40"
INFO | 03/07/2020 09:45:51 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:45:51 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:45:51 PM Counting words occurrences
INFO | 03/07/2020 09:46:23 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:46:23 PM AbstractText object initialized
INFO | 03/07/2020 09:46:23 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:46:23 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:46:23 PM File "dataset/Reuters/reut2-006.sgm" opened
INFO | 03/07/2020 09:46:23 PM File "dataset/Reuters/reut2-006.sgm" read
INFO | 03/07/2020 09:46:23 PM RawText object initialized using text starting with "

17-..."
INFO | 03/07/2020 09:46:23 PM Cleaning text at level "40"
INFO | 03/07/2020 09:46:31 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:46:31 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:46:31 PM Counting words occurrences
INFO | 03/07/2020 09:46:58 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:46:58 PM AbstractText object initialized
INFO | 03/07/2020 09:46:58 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:46:58 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:46:58 PM File "dataset/Reuters/reut2-007.sgm" opened
INFO | 03/07/2020 09:46:58 PM File "dataset/Reuters/reut2-007.sgm" read
INFO | 03/07/2020 09:46:58 PM RawText object initialized using text starting with "

19-..."
INFO | 03/07/2020 09:46:58 PM Cleaning text at level "40"
INFO | 03/07/2020 09:47:05 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:47:05 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:47:05 PM Counting words occurrences
INFO | 03/07/2020 09:47:32 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:47:32 PM AbstractText object initialized
INFO | 03/07/2020 09:47:32 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:47:32 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:47:32 PM File "dataset/Reuters/reut2-008.sgm" opened
INFO | 03/07/2020 09:47:32 PM File "dataset/Reuters/reut2-008.sgm" read
WARNING | 03/07/2020 09:47:32 PM File too big. It has been reduced
INFO | 03/07/2020 09:47:32 PM RawText object initialized using text starting with "

20-..."
INFO | 03/07/2020 09:47:32 PM Cleaning text at level "40"
INFO | 03/07/2020 09:47:41 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:47:41 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:47:41 PM Counting words occurrences
INFO | 03/07/2020 09:48:15 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:48:15 PM AbstractText object initialized
INFO | 03/07/2020 09:48:15 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:48:15 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:48:15 PM File "dataset/Reuters/reut2-009.sgm" opened
INFO | 03/07/2020 09:48:15 PM File "dataset/Reuters/reut2-009.sgm" read
INFO | 03/07/2020 09:48:15 PM RawText object initialized using text starting with "

24-..."
INFO | 03/07/2020 09:48:15 PM Cleaning text at level "40"
INFO | 03/07/2020 09:48:23 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:48:23 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:48:23 PM Counting words occurrences
INFO | 03/07/2020 09:48:57 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:48:57 PM AbstractText object initialized
INFO | 03/07/2020 09:48:57 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:48:57 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:48:57 PM File "dataset/Reuters/reut2-010.sgm" opened
INFO | 03/07/2020 09:48:57 PM File "dataset/Reuters/reut2-010.sgm" read
INFO | 03/07/2020 09:48:57 PM RawText object initialized using text starting with "

26-..."
INFO | 03/07/2020 09:48:57 PM Cleaning text at level "40"
INFO | 03/07/2020 09:49:05 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:49:05 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:49:05 PM Counting words occurrences
INFO | 03/07/2020 09:49:38 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:49:38 PM AbstractText object initialized
INFO | 03/07/2020 09:49:38 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:49:38 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:49:38 PM File "dataset/Reuters/reut2-011.sgm" opened
INFO | 03/07/2020 09:49:38 PM File "dataset/Reuters/reut2-011.sgm" read
INFO | 03/07/2020 09:49:38 PM RawText object initialized using text starting with "

30-..."
INFO | 03/07/2020 09:49:38 PM Cleaning text at level "40"
INFO | 03/07/2020 09:49:46 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:49:46 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:49:46 PM Counting words occurrences
INFO | 03/07/2020 09:50:17 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:50:17 PM AbstractText object initialized
INFO | 03/07/2020 09:50:17 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:50:17 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:50:17 PM File "dataset/Reuters/reut2-012.sgm" opened
INFO | 03/07/2020 09:50:17 PM File "dataset/Reuters/reut2-012.sgm" read
INFO | 03/07/2020 09:50:17 PM RawText object initialized using text starting with "

 1-..."
INFO | 03/07/2020 09:50:17 PM Cleaning text at level "40"
INFO | 03/07/2020 09:50:25 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:50:25 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:50:25 PM Counting words occurrences
INFO | 03/07/2020 09:50:57 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:50:57 PM AbstractText object initialized
INFO | 03/07/2020 09:50:57 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:50:57 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:50:57 PM File "dataset/Reuters/reut2-013.sgm" opened
INFO | 03/07/2020 09:50:57 PM File "dataset/Reuters/reut2-013.sgm" read
INFO | 03/07/2020 09:50:57 PM RawText object initialized using text starting with "

 3-..."
INFO | 03/07/2020 09:50:57 PM Cleaning text at level "40"
INFO | 03/07/2020 09:51:04 PM CleanedText object initialized using "40" as cleaning level
INFO | 03/07/2020 09:51:04 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:51:04 PM Counting words occurrences
INFO | 03/07/2020 09:51:28 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:51:28 PM AbstractText object initialized
INFO | 03/07/2020 09:51:28 PM Cleaning up useless attributes to free memory
INFO | 03/07/2020 09:51:28 PM Calculating words frequencies with occurrences normalized
INFO | 03/07/2020 09:51:28 PM File "dataset/Reuters/reut2-014.sgm" opened
INFO | 03/07/2020 09:51:28 PM File "dataset/Reuters/reut2-014.sgm" read
INFO | 03/07/2020 09:51:28 PM RawText object initialized using text starting with "

 7-..."
INFO | 03/07/2020 09:51:28 PM Cleaning text at level "40"
INFO | 03/07/2020 09:51:34 PM CleanedText object initialized using "40" as cleaning level
